측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870114,서대문구,0.07        ,         ,6.5         ,          ,         ,
19870114,서초구 ,0.051       ,0.009    ,2           ,0.175     ,         ,
19870114,성동구 ,0.044       ,0.011    ,4.2         ,0.178     ,         ,
19870114,송파구 ,0.033       ,0.006    ,3.3         ,          ,         ,
19870114,용산구 ,0.024       ,0.005    ,4.8         ,0.136     ,         ,
19870115,광진구 ,0.005       ,0.006    ,1.1         ,0.019     ,         ,
19870115,구로구 ,0.07        ,0.001    ,            ,0.282     ,         ,
19870115,도봉구 ,0.044       ,0.005    ,12.4        ,0.37      ,         ,
19870115,서대문구,0.076       ,         ,9           ,          ,         ,
19870115,서초구 ,0.052       ,0.011    ,2.7         ,0.152     ,         ,
19870115,성동구 ,0.051       ,0.008    ,9.4         ,0.25      ,         ,
19870115,송파구 ,0.034       ,0.004    ,4.9         ,          ,         ,
19870115,용산구 ,0.025       ,0.003    ,7.1         ,          ,         ,
19870116,광진구 ,0.013       ,0        ,2           ,0.058     ,         ,
19870116,구로구 ,0.042       ,0.006    ,            ,0.116     ,         ,
19870116,도봉구 ,0.035       ,0.01     ,10.7        ,0.284     ,         ,
19870116,서대문구,0.077       ,         ,7.5         ,          ,         ,
19870116,서초구 ,0.041       ,0.017    ,2.8         ,0.117     ,         ,
19870116,성동구 ,0.04        ,0.005    ,9.7         ,0.252     ,         ,
19870116,송파구 ,0.032       ,0.002    ,6.1         ,          ,         ,
19870116,용산구 ,0.023       ,0.004    ,6.1         ,0.14      ,         ,
19870117,광진구 ,0.006       ,0.003    ,1.7         ,0.033     ,         ,
19870117,구로구 ,0.022       ,0.014    ,3.2         ,0.08      ,         ,
19870117,도봉구 ,0.017       ,0.022    ,2.4         ,0.078     ,         ,
19870117,서대문구,0.063       ,         ,3.1         ,          ,         ,
19870117,서초구 ,0.031       ,0.045    ,0.7         ,0.027     ,         ,
19870117,성동구 ,0.028       ,0.037    ,3.1         ,0.109     ,         ,
19870117,송파구 ,0.021       ,0.015    ,1           ,          ,         ,
19870117,용산구 ,0.013       ,0.019    ,1.4         ,0.087     ,         ,
19870118,광진구 ,0.011       ,0        ,2.4         ,0.037     ,         ,
19870118,구로구 ,0.031       ,0.01     ,5           ,0.139     ,         ,
19870118,도봉구 ,0.033       ,0.011    ,4.8         ,0.174     ,         ,
19870118,서대문구,0.062       ,         ,5.4         ,          ,         ,
19870118,서초구 ,0.037       ,0.029    ,1.9         ,0.103     ,         ,
19870118,성동구 ,0.037       ,0.012    ,5.9         ,0.21      ,         ,
19870118,송파구 ,0.03        ,0.005    ,2.7         ,          ,         ,
19870118,용산구 ,0.024       ,0.006    ,3.9         ,0.087     ,         ,
19870119,광진구 ,0.011       ,0        ,2.8         ,0.094     ,         ,
19870119,구로구 ,0.027       ,0.013    ,4.4         ,0.112     ,         ,
19870119,도봉구 ,0.026       ,0.017    ,3.3         ,0.114     ,         ,
19870119,서대문구,0.048       ,         ,4.1         ,          ,         ,
19870119,서초구 ,0.039       ,0.034    ,1.4         ,0.068     ,         ,
19870119,성동구 ,0.037       ,0.022    ,4.7         ,0.179     ,         ,
19870119,송파구 ,0.031       ,0.009    ,2.1         ,          ,         ,
19870119,용산구 ,0.024       ,0.012    ,2.3         ,0.077     ,         ,
19870120,광진구 ,0.011       ,0        ,4.2         ,0.111     ,         ,
19870120,구로구 ,0.044       ,0.004    ,8.1         ,0.195     ,         ,
19870120,도봉구 ,0.062       ,0.004    ,7.4         ,0.164     ,         ,
19870120,서대문구,0.058       ,         ,6.8         ,          ,         ,
19870120,서초구 ,0.057       ,0.005    ,4.3         ,0.21      ,         ,
19870120,성동구 ,0.05        ,0.004    ,8.4         ,0.291     ,         ,
19870120,송파구 ,0.036       ,0.004    ,4.3         ,          ,         ,
19870120,용산구 ,0.03        ,0.002    ,7.5         ,0.123     ,         ,
19870121,광진구 ,0.012       ,0.001    ,4           ,0.11      ,         ,
19870121,구로구 ,0.062       ,0.002    ,12.9        ,0.346     ,         ,
19870121,도봉구 ,0.047       ,0.006    ,7.8         ,0.188     ,         ,
19870121,서대문구,0.069       ,         ,12          ,0.107     ,         ,
19870121,서초구 ,0.073       ,0.002    ,6.3         ,0.311     ,         ,
19870121,성동구 ,0.058       ,0.003    ,10.8        ,0.336     ,         ,
19870121,송파구 ,0.054       ,0.003    ,5.6         ,          ,         ,
19870121,용산구 ,0.034       ,0.002    ,9.5         ,0.133     ,         ,
19870122,광진구 ,0.011       ,0.002    ,4           ,0.104     ,         ,
19870122,구로구 ,0.085       ,0.001    ,14.9        ,0.328     ,         ,
19870122,도봉구 ,0.053       ,0.005    ,11.6        ,0.357     ,         ,
19870122,서대문구,0.078       ,         ,16.7        ,0.166     ,         ,
19870122,서초구 ,0.074       ,0.002    ,4.6         ,0.278     ,         ,
19870122,성동구 ,0.055       ,0.008    ,11.6        ,0.284     ,         ,
19870122,송파구 ,0.039       ,0.004    ,5.3         ,          ,         ,
19870122,용산구 ,0.031       ,0.004    ,9.3         ,0.14      ,         ,
19870123,광진구 ,0.01        ,0.001    ,5           ,0.137     ,         ,
19870123,구로구 ,0.064       ,0.003    ,10.3        ,0.207     ,         ,
19870123,도봉구 ,0.033       ,0.012    ,6.9         ,0.189     ,         ,
19870123,서대문구,0.059       ,         ,8.4         ,0.078     ,         ,
19870123,서초구 ,0.045       ,0.012    ,5.2         ,0.173     ,         ,
19870123,성동구 ,0.038       ,0.009    ,8.9         ,0.208     ,         ,
19870123,송파구 ,0.033       ,0.004    ,3.9         ,          ,         ,
19870123,용산구 ,0.028       ,0.005    ,7.8         ,0.111     ,         ,
19870124,광진구 ,0.006       ,0.005    ,1.8         ,0.046     ,         ,
19870124,구로구 ,0.012       ,0.015    ,            ,0.054     ,         ,
19870124,도봉구 ,0.018       ,0.026    ,2.7         ,0.085     ,         ,
19870124,서대문구,0.051       ,         ,3           ,0.042     ,         ,
19870124,서초구 ,0.025       ,0.056    ,0.3         ,0.035     ,         ,
19870124,성동구 ,0.023       ,0.045    ,3.3         ,0.11      ,         ,
19870124,송파구 ,0.023       ,0.017    ,1.2         ,          ,         ,
19870124,용산구 ,0.019       ,0.024    ,1.5         ,0.048     ,         ,
19870125,광진구 ,0.007       ,0.004    ,2.3         ,0.071     ,         ,
19870125,구로구 ,            ,         ,            ,          ,         ,
