"행정구역별(읍면동)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"서구",509776,259613,250163,494399,249250,245149,15377,10363,5014,182582,178307,113,4162,165819,8645,106269,8743,41172,990,6669
"강화군",63737,32025,31712,62753,31416,31337,984,609,375,26402,26103,61,238,27350,19859,2344,1011,3577,559,1155
"옹진군",19294,11004,8290,19082,10855,8227,212,149,63,9450,9347,12,91,7367,5876,281,327,680,203,338
"광주광역시",1496172,745122,751050,1470120,730590,739530,26052,14532,11520,583068,575732,389,6947,505471,86652,395976,8427,8505,5911,13413
"동구",100914,50531,50383,99346,49730,49616,1568,801,767,44089,43634,49,406,33266,12614,16485,964,2257,946,1484
"서구",306054,151371,154683,304048,150450,153598,2006,921,1085,122837,122103,50,684,103503,14272,85485,1162,1550,1034,4512
"남구",219256,106202,113054,217638,105561,112077,1618,641,977,84836,84399,63,374,75784,16661,55541,1483,1236,863,1511
"북구",450323,224448,225875,444731,221759,222972,5592,2689,2903,176793,175203,97,1493,154667,24970,122601,2189,2753,2154,2970
"광산구",419625,212570,207055,404357,203090,201267,15268,9480,5788,154513,150393,130,3990,138251,18135,115864,2629,709,914,2936
"대전광역시",1525849,765718,760131,1505315,756015,749300,20534,9703,10831,604490,597736,437,6317,479161,81107,348033,10208,34590,5223,11942
"동구",239752,121017,118735,234986,118821,116165,4766,2196,2570,100642,99302,97,1243,76777,19765,46533,2227,7107,1145,1064
"중구",243540,120356,123184,241733,119658,122075,1807,698,1109,96177,95532,87,558,81427,18855,50567,2306,8212,1487,1306
"서구",487449,239928,247521,483493,238247,245246,3956,1681,2275,193300,191868,96,1336,147097,20597,116047,2562,6927,964,4040
"유성구",366639,188954,177685,359459,185285,174174,7180,3669,3511,140386,137871,103,2412,113276,10888,96318,1566,3663,841,4463
"대덕구",188469,95463,93006,185644,94004,91640,2825,1459,1366,73985,73163,54,768,60584,11002,38568,1547,8681,786,1069
"울산광역시",1157077,600093,556984,1130476,583739,546737,26601,16354,10247,437889,428720,221,8948,371300,67247,264440,8030,25102,6481,10119
"읍부",152775,80370,72405,146362,76197,70165,6413,4173,2240,54801,52436,31,2334,48891,8445,35859,1205,2578,804,912
"면부",69389,36262,33127,66134,33725,32409,3255,2537,718,28591,27777,52,762,27663,13082,11736,799,1452,594,1471
"동부",934913,483461,451452,917980,473817,444163,16933,9644,7289,354497,348507,138,5852,294746,45720,216845,6026,21072,5083,7736
"중구",233343,118977,114366,230436,117671,112765,2907,1306,1601,90480,89318,22,1140,71312,15663,45368,1929,6980,1372,1597
"남구",333117,170349,162768,326711,166965,159746,6406,3384,3022,130563,128116,67,2380,106009,14303,78881,2229,8326,2270,4309
"동구",172306,91965,80341,167765,88950,78815,4541,3015,1526,64353,62863,27,1463,53365,7996,39069,1410,4051,839,962
"북구",196147,102170,93977,193068,100231,92837,3079,1939,1140,69101,68210,22,869,64060,7758,53527,458,1715,602,868
"울주군",222164,116632,105532,212496,109922,102574,9668,6710,2958,83392,80213,83,3096,76554,21527,47595,2004,4030,1398,2383
"세종특별자치시",276589,139347,137242,271299,136217,135082,5290,3130,2160,105932,104325,89,1518,104448,15990,85256,1006,1506,690,2999
"읍부",52007,27176,24831,50447,26359,24088,1560,817,743,20862,20225,30,607,16099,2994,11110,739,889,367,337
"면부",52757,28445,24312,50064,26587,23477,2693,1858,835,23969,23249,54,666,18684,12830,4727,187,617,323,1094
"동부",171825,83726,88099,170788,83271,87517,1037,455,582,61101,60851,5,245,69665,166,69419,80,X,X,1568
"세종시",276589,139347,137242,271299,136217,135082,5290,3130,2160,105932,104325,89,1518,104448,15990,85256,1006,1506,690,2999
"경기도",12851601,6502723,6348878,12354512,6206756,6147756,497089,295967,201122,4773632,4602950,3948,166734,3949829,504182,2676037,124272,611471,33867,213218
"읍부",1357641,704740,652901,1290052,659599,630453,67589,45141,22448,500459,481501,636,18322,451813,76493,280521,19908,70085,4806,21449
"면부",881231,480667,400564,795456,415579,379877,85775,65088,20687,335945,315260,1051,19634,279451,162385,62257,10110,38205,6494,29605
"동부",10612729,5317316,5295413,10269004,5131578,5137426,343725,185738,157987,3937228,3806189,2261,128778,3218565,265304,2333259,94254,503181,22567,162164
"수원시",1216996,615690,601306,1168404,589882,578522,48592,25808,22784,465209,445309,222,19678,350148,34970,252852,8456,51303,2567,15443
"장안구",295436,149660,145776,287001,145193,141808,8435,4467,3968,108939,105494,69,3376,84257,9268,54734,1996,17525,734,1370
"권선구",364650,183913,180737,351909,177344,174565,12741,6569,6172,139302,134198,33,5071,108312,10647,76587,2254,17983,841,2468
"팔달구",206092,104339,101753,187184,94215,92969,18908,10124,8784,87405,79095,55,8255,57935,11095,30612,1705,13757,766,4665
"영통구",350818,177778,173040,342310,173130,169180,8508,4648,3860,129563,126522,65,2976,99644,3960,90919,2501,2038,226,6940
"성남시",944297,467176,477121,921073,455877,465196,23224,11299,11925,369366,359515,132,9719,257047,37784,174019,10174,33399,1671,27088
"수정구",241862,122336,119526,228035,115455,112580,13827,6881,6946,103143,96984,38,6121,56148,19630,23876,590,11431,621,2292
"중원구",226657,114220,112437,222291,112137,110154,4366,2083,2283,90622,88749,51,1822,62851,12929,27938,742,20429,813,3255
"분당구",475778,230620,245158,470747,228285,242462,5031,2335,2696,175601,173782,43,1776,138048,5225,122205,8842,1539,237,21541
"의정부시",426530,210519,216011,421263,208022,213241,5267,2497,2770,161772,160020,98,1654,138767,13649,101039,2663,20301,1115,4114
"안양시",576697,285721,290976,566976,281009,285967,9721,4712,5009,209878,205965,92,3821,178175,10756,128918,3674,33496,1331,7419
"만안구",254107,127061,127046,246822,123485,123337,7285,3576,3709,95791,92768,66,2957,74205,7094,44318,1956,20081,756,2493
